date,cases,deaths,new_cases,new_deaths,cases_7day_avg,deaths_7day_avg,fatality_rate
2021-11-19,47705269,769361,126271.0,1761.0,94988.85714285714,1149.2857142857142,1.6127379975574605
2021-11-20,47752525,769836,47256.0,475.0,95523.28571428571,1153.857142857143,1.6121367404132034
2021-11-21,47794054,770086,41529.0,250.0,95404.0,1159.5714285714287,1.6112590072396873
2021-11-22,47934950,771332,140896.0,1246.0,85186.0,1038.5714285714287,1.6091223627019535
2021-11-23,48026672,772683,91722.0,1351.0,74960.57142857143,842.5714285714286,1.6088622588714871
2021-11-24,48138243,774382,111571.0,1699.0,72276.42857142857,823.0,1.6086627839740641
2021-11-25,48175300,774870,37057.0,488.0,72789.85714285714,827.0,1.608438349112512
2021-11-26,48229993,775259,54693.0,389.0,79111.85714285714,922.4285714285714,1.607420925812699
2021-11-27,48258460,775597,28467.0,338.0,82809.57142857143,963.4285714285714,1.6071731257068709
2021-11-28,48303583,775875,45123.0,278.0,86442.42857142857,1005.7142857142857,1.6062473046771706
2021-11-29,48488733,777789,185150.0,1914.0,100850.42857142857,1498.857142857143,1.6040612981164097
2021-11-30,48606339,779427,117606.0,1638.0,115608.28571428571,1673.4285714285713,1.6035501048536076
2021-12-01,48743340,781422,137001.0,1995.0,121228.42857142857,1725.2857142857142,1.6031359361094253
2021-12-02,48881253,785362,137913.0,3940.0,122862.57142857143,1744.7142857142858,1.6066732168260909
2021-12-03,49039251,786973,157998.0,1611.0,121401.0,1675.0,1.6047818511746845
2021-12-04,49107059,787674,67808.0,701.0,120667.0,1657.0,1.603993429946599
2021-12-05,49163621,788088,56562.0,414.0,122435.14285714286,1632.4285714285713,1.6029901459048348
2021-12-06,49338540,789514,174919.0,1426.0,120438.14285714286,1290.7142857142858,1.600197330524981
2021-12-07,49451008,791026,112468.0,1512.0,120354.85714285714,1311.0,1.5996155224985504
2021-12-08,49600386,792849,149378.0,1823.0,118916.85714285714,1300.0,1.5984734473638975
2021-12-09,49724320,794397,123934.0,1548.0,118464.71428571429,1294.0,1.5976025413721093
2021-12-10,49881735,796150,157415.0,1753.0,119655.28571428571,1288.7142857142858,1.5960751966626663
2021-12-11,49939477,796774,57742.0,624.0,119781.28571428571,1288.5714285714287,1.5954792638296953
2021-12-12,49992874,797146,53397.0,372.0,119243.71428571429,1347.0,1.5945192508836359
2021-12-13,50176127,798535,183253.0,1389.0,121851.85714285714,1307.142857142857,1.5914640043859902
2021-12-14,50289477,800046,113350.0,1511.0,126865.14285714286,1323.0,1.5908815277597737
2021-12-15,50435092,802278,145615.0,2232.0,130285.0,1331.142857142857,1.5907138624828918
2021-12-16,50577283,803547,142191.0,1269.0,135645.2857142857,1323.7142857142858,1.588750823170948
2021-12-17,50769791,805411,192508.0,1864.0,143918.14285714287,1346.2857142857142,1.5863981003979317
2021-12-18,50851472,806092,81681.0,681.0,153764.42857142858,1403.857142857143,1.585189117042669
2021-12-19,50942391,806412,90919.0,320.0,168370.0,1682.857142857143,1.5829881247623419
2021-12-20,51183554,807959,241163.0,1547.0,187255.42857142858,1702.2857142857142,1.5785519700331867
2021-12-21,51365828,809873,182274.0,1914.0,195221.14285714287,1534.5714285714287,1.5766766185488144
2021-12-22,51613682,814058,247854.0,4185.0,196168.85714285713,1472.0,1.5772135768186428
2021-12-23,51888071,815463,274389.0,1405.0,209397.7142857143,1479.4285714285713,1.5715808745327995
2021-12-24,52136339,816153,248268.0,690.0,247241.7142857143,1522.142857142857,1.565420617661704
2021-12-25,52224654,816396,88315.0,243.0,274411.0,1574.5714285714287,1.5632386956551212
